Town,Yr_2010,Yr_2020,Yr_2030,Yr_2040,Yr_2050,Yr_2060,Yr_2070,Yr_2080,Yr_2090,Yr_2100,Latitude,Longitude
Arua,440.676,638.195,901.413,1223.099,1596.219,1984.949,2376.079,2765.179,3133.57,3478.244,3.0014096,31.00935271
Gulu,60.911,88.037,124.152,168.25,219.364,272.575,326.036,379.146,429.369,476.322,3.0199023,32.38825104
Nwoya,83.338,115.909,158.578,209.87,268.556,328.943,388.282,446.225,500.262,550.309,2.5286101,31.86951328
Adjumani,73.876,106.776,150.56,203.987,265.885,330.31,395.043,459.352,520.174,577.032,3.23712805,31.78582462
Jinja,199.417,286.859,402.882,544.089,707.267,876.595,1045.778,1213.061,1370.58,1517.373,0.57515665,33.28052986
Kabale,319.141,449.197,618.46,820.723,1050.412,1284.333,1510.735,1728.123,1927.338,2109.223,-1.33596665,30.036886
Kisoro,319.141,449.197,618.46,820.723,1050.412,1284.333,1510.735,1728.123,1927.338,2109.223,-1.1980545,29.670308
Kabarole,96.362,130.25,170.784,214.421,259.872,303.096,342.43,378.107,409.18,435.873,0.62124925,30.35254466
Kampala,8.508,9.913,11.694,13.768,16.077,18.376,20.19,21.657,22.818,23.796,0.3177137,32.5813539
Rukungiri,283.474,397.882,546.799,724.78,926.932,1132.847,1332.021,1523.211,1698.402,1858.373,-0.697403,29.89173637
Yumbe,211.744,303.173,423.892,569.976,738.231,912.879,1087.959,1261.69,1425.855,1579.116,3.49141055,31.28591493
Amolatar,162.739,232.52,324.952,437.33,567.089,701.659,835.775,968.179,1092.73,1208.78,1.6374596,32.63282295
Ibanda,91.561,126.948,173.465,229.61,293.995,360.26,425.051,488.01,546.448,600.421,-0.0598851,30.49229003
Nakaseke,27.542,39.886,56.345,76.47,99.817,124.154,148.646,173.022,196.12,217.731,1.0022373,32.17580875
Buikwe,18.329,24.16,31.817,41.049,51.634,62.524,72.948,82.945,92.15,100.629,0.3031612,33.03908683
Bundibugyo,86.935,116.976,151.229,185.648,219.134,249.016,274.702,296.573,314.395,328.331,0.6605936,30.04310077
Sheema,283.759,398.292,547.372,725.547,927.919,1134.057,1333.449,1524.849,1700.231,1860.378,-0.591872,30.37404168
Masaka,214.053,306.416,428.974,578.182,750.651,929.709,1108.51,1285.294,1451.816,1607.099,-0.483142,31.83188947
Moroto,15.523,21.348,28.562,36.896,46.119,55.371,64.504,73.492,81.902,89.664,2.61564545,34.63998174
